Region,регіон, рік,кількість,тип
Ukraine,Україна,2010,8.3,сільське господарство
Ukraine,Україна,2017,12.1,сільське господарство
Vinnyts'ka oblast',Вінницька,2010,21.6,сільське господарство
Vinnyts'ka oblast',Вінницька,2017,28.1,сільське господарство
Volyns'ka oblast',Волинська,2010,16.9,сільське господарство
Volyns'ka oblast',Волинська,2017,17.2,сільське господарство
Dnipropetrovs'ka oblast',Дніпропетровська,2010,4.7,сільське господарство
Dnipropetrovs'ka oblast',Дніпропетровська,2017,7.3,сільське господарство
Donets'ka oblast',Донецька,2010,3.8,сільське господарство
Donets'ka oblast',Донецька,2017,7.2,сільське господарство
Zhytomyrs'ka oblast',Житомирська,2010,16.3,сільське господарство
Zhytomyrs'ka oblast',Житомирська,2017,23.5,сільське господарство
Zakarpats'ka oblast',Закарпатська,2010,13.4,сільське господарство
Zakarpats'ka oblast',Закарпатська,2017,15.2,сільське господарство
Zaporiz'ka oblast',Запорізька,2010,9,сільське господарство
Zaporiz'ka oblast',Запорізька,2017,12,сільське господарство
Ivano-Frankivs'ka oblast',Івано-Франківська,2010,12.7,сільське господарство
Ivano-Frankivs'ka oblast',Івано-Франківська,2017,14.4,сільське господарство
Kyivs'ka oblast',Київська,2010,13.5,сільське господарство
Kyivs'ka oblast',Київська,2017,14.3,сільське господарство
Kirovohrads'ka oblast',Кіровоградська,2010,19.8,сільське господарство
Kirovohrads'ka oblast',Кіровоградська,2017,31.3,сільське господарство
Luhans'ka oblast',Луганська,2010,5,сільське господарство
Luhans'ka oblast',Луганська,2017,21.3,сільське господарство
L'vivs'ka oblast',Львівська,2010,9.6,сільське господарство
L'vivs'ka oblast',Львівська,2017,9.6,сільське господарство
Mykolaivs'ka oblast',Миколаївська,2010,15.9,сільське господарство
Mykolaivs'ka oblast',Миколаївська,2017,21.9,сільське господарство
Odes'ka oblast',Одеська,2010,7.7,сільське господарство
Odes'ka oblast',Одеська,2017,11.5,сільське господарство
Poltavs'ka oblast',Полтавська,2010,12.9,сільське господарство
Poltavs'ka oblast',Полтавська,2017,14.3,сільське господарство
Rivnens'ka oblast',Рівненська,2010,15.9,сільське господарство
Rivnens'ka oblast',Рівненська,2017,19.9,сільське господарство
Sums'ka oblast',Сумська,2010,13.5,сільське господарство
Sums'ka oblast',Сумська,2017,26.1,сільське господарство
Ternopil's'ka oblast',Тернопільська,2010,19.4,сільське господарство
Ternopil's'ka oblast',Тернопільська,2017,28.1,сільське господарство
Kharkivs'ka oblast',Харківська,2010,6.4,сільське господарство
Kharkivs'ka oblast',Харківська,2017,11.1,сільське господарство
Khersons'ka oblast',Херсонська,2010,23.7,сільське господарство
Khersons'ka oblast',Херсонська,2017,33,сільське господарство
Khmel'nyts'ka oblast',Хмельницька,2010,18.4,сільське господарство
Khmel'nyts'ka oblast',Хмельницька,2017,31.1,сільське господарство
Cherkas'ka oblast',Черкаська,2010,19.6,сільське господарство
Cherkas'ka oblast',Черкаська,2017,21.8,сільське господарство
Chernihivs'ka oblast',Чернівецька,2010,18.7,сільське господарство
Chernihivs'ka oblast',Чернівецька,2017,22.3,сільське господарство
Chernivets'ka oblast',Чернігівська,2010,18.3,сільське господарство
Chernivets'ka oblast',Чернігівська,2017,28.2,сільське господарство
Misto Kyiv,м.Київ,2010,0,сільське господарство
Misto Kyiv,м.Київ,2017,0,сільське господарство
Ukraine,Україна,2010,25.9,промисловість
Ukraine,Україна,2017,25.2,промисловість
Vinnyts'ka oblast',Вінницька,2010,19.3,промисловість
Vinnyts'ka oblast',Вінницька,2017,21.4,промисловість
Volyns'ka oblast',Волинська,2010,15.6,промисловість
Volyns'ka oblast',Волинська,2017,15.4,промисловість
Dnipropetrovs'ka oblast',Дніпропетровська,2010,47.7,промисловість
Dnipropetrovs'ka oblast',Дніпропетровська,2017,48.2,промисловість
Donets'ka oblast',Донецька,2010,45.8,промисловість
Donets'ka oblast',Донецька,2017,49.9,промисловість
Zhytomyrs'ka oblast',Житомирська,2010,21.5,промисловість
Zhytomyrs'ka oblast',Житомирська,2017,19,промисловість
Zakarpats'ka oblast',Закарпатська,2010,19,промисловість
Zakarpats'ka oblast',Закарпатська,2017,15.1,промисловість
Zaporiz'ka oblast',Запорізька,2010,38.6,промисловість
Zaporiz'ka oblast',Запорізька,2017,42.4,промисловість
Ivano-Frankivs'ka oblast',Івано-Франківська,2010,24.1,промисловість
Ivano-Frankivs'ka oblast',Івано-Франківська,2017,28,промисловість
Kyivs'ka oblast',Київська,2010,18.2,промисловість
Kyivs'ka oblast',Київська,2017,21.5,промисловість
Kirovohrads'ka oblast',Кіровоградська,2010,22.8,промисловість
Kirovohrads'ka oblast',Кіровоградська,2017,19.1,промисловість
Luhans'ka oblast',Луганська,2010,51,промисловість
Luhans'ka oblast',Луганська,2017,23.1,промисловість
L'vivs'ka oblast',Львівська,2010,17.4,промисловість
L'vivs'ka oblast',Львівська,2017,22.9,промисловість
Mykolaivs'ka oblast',Миколаївська,2010,22.8,промисловість
Mykolaivs'ka oblast',Миколаївська,2017,21.1,промисловість
Odes'ka oblast',Одеська,2010,14.8,промисловість
Odes'ka oblast',Одеська,2017,12.5,промисловість
Poltavs'ka oblast',Полтавська,2010,42.4,промисловість
Poltavs'ka oblast',Полтавська,2017,54.1,промисловість
Rivnens'ka oblast',Рівненська,2010,26.5,промисловість
Rivnens'ka oblast',Рівненська,2017,24.5,промисловість
Sums'ka oblast',Сумська,2010,31.8,промисловість
Sums'ka oblast',Сумська,2017,22.5,промисловість
Ternopil's'ka oblast',Тернопільська,2010,14.4,промисловість
Ternopil's'ka oblast',Тернопільська,2017,14.2,промисловість
Kharkivs'ka oblast',Харківська,2010,21.4,промисловість
Kharkivs'ka oblast',Харківська,2017,31,промисловість
Khersons'ka oblast',Херсонська,2010,16.5,промисловість
Khersons'ka oblast',Херсонська,2017,15.1,промисловість
Khmel'nyts'ka oblast',Хмельницька,2010,19.4,промисловість
Khmel'nyts'ka oblast',Хмельницька,2017,17.5,промисловість
Cherkas'ka oblast',Черкаська,2010,25.9,промисловість
Cherkas'ka oblast',Черкаська,2017,25.2,промисловість
Chernihivs'ka oblast',Чернівецька,2010,11.9,промисловість
Chernihivs'ka oblast',Чернівецька,2017,10.7,промисловість
Chernivets'ka oblast',Чернігівська,2010,21.6,промисловість
Chernivets'ka oblast',Чернігівська,2017,20.5,промисловість
Misto Kyiv,м.Київ,2010,6.2,промисловість
Misto Kyiv,м.Київ,2017,10.1,промисловість
Ukraine,Україна,2010,3.3,будівництво
Ukraine,Україна,2017,2.5,будівництво
Vinnyts'ka oblast',Вінницька,2010,4.1,будівництво
Vinnyts'ka oblast',Вінницька,2017,2,будівництво
Volyns'ka oblast',Волинська,2010,3.2,будівництво
Volyns'ka oblast',Волинська,2017,2.1,будівництво
Dnipropetrovs'ka oblast',Дніпропетровська,2010,1.8,будівництво
Dnipropetrovs'ka oblast',Дніпропетровська,2017,1.8,будівництво
Donets'ka oblast',Донецька,2010,3.3,будівництво
Donets'ka oblast',Донецька,2017,1.7,будівництво
Zhytomyrs'ka oblast',Житомирська,2010,2.9,будівництво
Zhytomyrs'ka oblast',Житомирська,2017,1.5,будівництво
Zakarpats'ka oblast',Закарпатська,2010,3.8,будівництво
Zakarpats'ka oblast',Закарпатська,2017,3.1,будівництво
Zaporiz'ka oblast',Запорізька,2010,2,будівництво
Zaporiz'ka oblast',Запорізька,2017,1.2,будівництво
Ivano-Frankivs'ka oblast',Івано-Франківська,2010,4.3,будівництво
Ivano-Frankivs'ka oblast',Івано-Франківська,2017,4.5,будівництво
Kyivs'ka oblast',Київська,2010,5,будівництво
Kyivs'ka oblast',Київська,2017,4.2,будівництво
Kirovohrads'ka oblast',Кіровоградська,2010,2.3,будівництво
Kirovohrads'ka oblast',Кіровоградська,2017,1.2,будівництво
Luhans'ka oblast',Луганська,2010,1.7,будівництво
Luhans'ka oblast',Луганська,2017,1,будівництво
L'vivs'ka oblast',Львівська,2010,4,будівництво
L'vivs'ka oblast',Львівська,2017,2.7,будівництво
Mykolaivs'ka oblast',Миколаївська,2010,3.3,будівництво
Mykolaivs'ka oblast',Миколаївська,2017,1.6,будівництво
Odes'ka oblast',Одеська,2010,3.1,будівництво
Odes'ka oblast',Одеська,2017,4.6,будівництво
Poltavs'ka oblast',Полтавська,2010,2.7,будівництво
Poltavs'ka oblast',Полтавська,2017,1.4,будівництво
Rivnens'ka oblast',Рівненська,2010,4.4,будівництво
Rivnens'ka oblast',Рівненська,2017,2.4,будівництво
Sums'ka oblast',Сумська,2010,2.1,будівництво
Sums'ka oblast',Сумська,2017,1.1,будівництво
Ternopil's'ka oblast',Тернопільська,2010,3.9,будівництво
Ternopil's'ka oblast',Тернопільська,2017,1.7,будівництво
Kharkivs'ka oblast',Харківська,2010,3.9,будівництво
Kharkivs'ka oblast',Харківська,2017,2.6,будівництво
Khersons'ka oblast',Херсонська,2010,2.3,будівництво
Khersons'ka oblast',Херсонська,2017,1.2,будівництво
Khmel'nyts'ka oblast',Хмельницька,2010,3.5,будівництво
Khmel'nyts'ka oblast',Хмельницька,2017,1.9,будівництво
Cherkas'ka oblast',Черкаська,2010,2.7,будівництво
Cherkas'ka oblast',Черкаська,2017,1.3,будівництво
Chernihivs'ka oblast',Чернівецька,2010,5.3,будівництво
Chernihivs'ka oblast',Чернівецька,2017,3.1,будівництво
Chernivets'ka oblast',Чернігівська,2010,2,будівництво
Chernivets'ka oblast',Чернігівська,2017,1.1,будівництво
Misto Kyiv,м.Київ,2010,3.6,будівництво
Misto Kyiv,м.Київ,2017,3.5,будівництво
Ukraine,Україна,2010,57.3,послуги
Ukraine,Україна,2017,53.7,послуги
Vinnyts'ka oblast',Вінницька,2010,47.4,послуги
Vinnyts'ka oblast',Вінницька,2017,39.8,послуги
Volyns'ka oblast',Волинська,2010,57.7,послуги
Volyns'ka oblast',Волинська,2017,57.7,послуги
Dnipropetrovs'ka oblast',Дніпропетровська,2010,43.1,послуги
Dnipropetrovs'ka oblast',Дніпропетровська,2017,38.4,послуги
Donets'ka oblast',Донецька,2010,44.4,послуги
Donets'ka oblast',Донецька,2017,35,послуги
Zhytomyrs'ka oblast',Житомирська,2010,50,послуги
Zhytomyrs'ka oblast',Житомирська,2017,43.8,послуги
Zakarpats'ka oblast',Закарпатська,2010,56.6,послуги
Zakarpats'ka oblast',Закарпатська,2017,57.4,послуги
Zaporiz'ka oblast',Запорізька,2010,45.7,послуги
Zaporiz'ka oblast',Запорізька,2017,38.7,послуги
Ivano-Frankivs'ka oblast',Івано-Франківська,2010,52.7,послуги
Ivano-Frankivs'ka oblast',Івано-Франківська,2017,46.7,послуги
Kyivs'ka oblast',Київська,2010,56,послуги
Kyivs'ka oblast',Київська,2017,48.7,послуги
Kirovohrads'ka oblast',Кіровоградська,2010,47.5,послуги
Kirovohrads'ka oblast',Кіровоградська,2017,39.5,послуги
Luhans'ka oblast',Луганська,2010,37.3,послуги
Luhans'ka oblast',Луганська,2017,39.1,послуги
L'vivs'ka oblast',Львівська,2010,61.4,послуги
L'vivs'ka oblast',Львівська,2017,57.1,послуги
Mykolaivs'ka oblast',Миколаївська,2010,52.2,послуги
Mykolaivs'ka oblast',Миколаївська,2017,45.4,послуги
Odes'ka oblast',Одеська,2010,68.5,послуги
Odes'ka oblast',Одеська,2017,63.8,послуги
Poltavs'ka oblast',Полтавська,2010,38.1,послуги
Poltavs'ka oblast',Полтавська,2017,26.1,послуги
Rivnens'ka oblast',Рівненська,2010,46.8,послуги
Rivnens'ka oblast',Рівненська,2017,44.8,послуги
Sums'ka oblast',Сумська,2010,45.4,послуги
Sums'ka oblast',Сумська,2017,39.9,послуги
Ternopil's'ka oblast',Тернопільська,2010,54.4,послуги
Ternopil's'ka oblast',Тернопільська,2017,48.6,послуги
Kharkivs'ka oblast',Харківська,2010,63.7,послуги
Kharkivs'ka oblast',Харківська,2017,49.3,послуги
Khersons'ka oblast',Херсонська,2010,50.4,послуги
Khersons'ka oblast',Херсонська,2017,42.3,послуги
Khmel'nyts'ka oblast',Хмельницька,2010,50.2,послуги
Khmel'nyts'ka oblast',Хмельницька,2017,40.6,послуги
Cherkas'ka oblast',Черкаська,2010,45.4,послуги
Cherkas'ka oblast',Черкаська,2017,45.6,послуги
Chernihivs'ka oblast',Чернівецька,2010,54.4,послуги
Chernihivs'ka oblast',Чернівецька,2017,54.8,послуги
Chernivets'ka oblast',Чернігівська,2010,48.5,послуги
Chernivets'ka oblast',Чернігівська,2017,39.6,послуги
Misto Kyiv,м.Київ,2010,86.2,послуги
Misto Kyiv,м.Київ,2017,82.8,послуги
Ukraine,Україна,2010,5.2,державне управління
Ukraine,Україна,2017,6.5,державне управління
Vinnyts'ka oblast',Вінницька,2010,7.6,державне управління
Vinnyts'ka oblast',Вінницька,2017,8.7,державне управління
Volyns'ka oblast',Волинська,2010,6.6,державне управління
Volyns'ka oblast',Волинська,2017,7.6,державне управління
Dnipropetrovs'ka oblast',Дніпропетровська,2010,2.7,державне управління
Dnipropetrovs'ka oblast',Дніпропетровська,2017,4.3,державне управління
Donets'ka oblast',Донецька,2010,2.7,державне управління
Donets'ka oblast',Донецька,2017,6.2,державне управління
Zhytomyrs'ka oblast',Житомирська,2010,9.3,державне управління
Zhytomyrs'ka oblast',Житомирська,2017,12.2,державне управління
Zakarpats'ka oblast',Закарпатська,2010,7.2,державне управління
Zakarpats'ka oblast',Закарпатська,2017,9.2,державне управління
Zaporiz'ka oblast',Запорізька,2010,4.7,державне управління
Zaporiz'ka oblast',Запорізька,2017,5.7,державне управління
Ivano-Frankivs'ka oblast',Івано-Франківська,2010,6.2,державне управління
Ivano-Frankivs'ka oblast',Івано-Франківська,2017,6.4,державне управління
Kyivs'ka oblast',Київська,2010,7.3,державне управління
Kyivs'ka oblast',Київська,2017,11.3,державне управління
Kirovohrads'ka oblast',Кіровоградська,2010,7.6,державне управління
Kirovohrads'ka oblast',Кіровоградська,2017,8.9,державне управління
Luhans'ka oblast',Луганська,2010,5,державне управління
Luhans'ka oblast',Луганська,2017,15.5,державне управління
L'vivs'ka oblast',Львівська,2010,7.6,державне управління
L'vivs'ka oblast',Львівська,2017,7.7,державне управління
Mykolaivs'ka oblast',Миколаївська,2010,5.8,державне управління
Mykolaivs'ka oblast',Миколаївська,2017,10,державне управління
Odes'ka oblast',Одеська,2010,5.9,державне управління
Odes'ka oblast',Одеська,2017,7.6,державне управління
Poltavs'ka oblast',Полтавська,2010,3.9,державне управління
Poltavs'ka oblast',Полтавська,2017,4.1,державне управління
Rivnens'ka oblast',Рівненська,2010,6.4,державне управління
Rivnens'ka oblast',Рівненська,2017,8.4,державне управління
Sums'ka oblast',Сумська,2010,7.2,державне управління
Sums'ka oblast',Сумська,2017,10.4,державне управління
Ternopil's'ka oblast',Тернопільська,2010,7.9,державне управління
Ternopil's'ka oblast',Тернопільська,2017,7.4,державне управління
Kharkivs'ka oblast',Харківська,2010,4.6,державне управління
Kharkivs'ka oblast',Харківська,2017,6,державне управління
Khersons'ka oblast',Херсонська,2010,7.1,державне управління
Khersons'ka oblast',Херсонська,2017,8.4,державне управління
Khmel'nyts'ka oblast',Хмельницька,2010,8.5,державне управління
Khmel'nyts'ka oblast',Хмельницька,2017,8.9,державне управління
Cherkas'ka oblast',Черкаська,2010,6.4,державне управління
Cherkas'ka oblast',Черкаська,2017,6.1,державне управління
Chernihivs'ka oblast',Чернівецька,2010,9.7,державне управління
Chernihivs'ka oblast',Чернівецька,2017,9.1,державне управління
Chernivets'ka oblast',Чернігівська,2010,9.6,державне управління
Chernivets'ka oblast',Чернігівська,2017,10.6,державне управління
Misto Kyiv,м.Київ,2010,4,державне управління
Misto Kyiv,м.Київ,2017,3.6,державне управління
